id,frame,q,a,eq,ea
165,16,통상개화론이 무엇인가요?,외국과 교류를 하고 서양의 제도와 문화를 받아들이는 것을 말하네,What is Tongsang gaehwaron (argument in favor of opening ports)?,It refers to interacting with foreign countries and accepting western systems and cultures.
166,7,통상개화론은 언제부터 본격적으로 주장되었나요?,아버님이 섭정을 하시던 시절부터 등장하였고 강화도 조약을 전후하면서 개화사상으로 발전했다네,When was Tongsang gaehwaron (argument in favor of opening ports) began to be supported? ,It appeared from the days of my father’s regency and developed into Enlightenment Thought pre- and post-Treaty of Ganghwa of 1876.
167,15,통상개화론을 주장한 인물은 누가 있나요?,"박규수, 유홍기, 오경석 등이 있네",Who supported Tongsang gaehwaron (argument in favor of opening ports)?,"There are people like Park Gyu-su, Yoo Hong-ki, Oh Gyeong-seok, etc."
168,15,박규수는 어떤 인물인가요?,"박지원의 손자네, 그는 박지원의 북학사상에 영향을 받은 인물로 청나라를 오가면서 개화사상에 눈을 떴다고 하더군",What kind of person is Park Gyu-su?,"He is Park Ji-won's grandson. Park Ji-won's Bukhak Thoughts influenced him, and he said that he opened his eyes to Enlightenment Thought while traveling to and from Qing."
169,15,유홍기는 어떤 인물인가요?,오경석과 가까워 그에게서 서양 문물에 관한 책을 얻어 읽고 통상과 개화를 주장하더군,What kind of person is Yoo Hong-gi?,"He was Oh Kyeong-seok's acquaintance. He borrowed some books on Western culture from him, and he began to assert commerce and enlightenment."
170,15,오경석은 어떤 인물인가요?,"중인신분의 역관으로 청에 왕래하면서 외국 문물을 소개하기도 했다네, 그가 유홍기에게 서양 문물을 소개했다더군",What kind of person is Oh Kyeong-seok?,He is a Jungin (the social class between the commoner and nobility) translator. He traveled back and forth to Qing and introduced foreign cultures. He introduced Western culture to Yoo Hong-gi.
171,15,통상개화론자들의 영향을 받은 개화파 인물은 누가 있나요?,"김홍집, 김옥균, 홍영식, 서광범, 윤치호 등이 있네",Who among the Enlightenment Faction was influenced by Tongsang gaehwaron (argument in favor of opening ports)?,"There are people like Kim Hong-jip, Kim Ok-gyun, Hong Young-sik, Seo Kwang-beom, Yoon Chi-ho, etc."
172,10,개화세력은 모두 하나의 세력인가요?,급진개화파와 온건개화파로 나뉜다네,Is Enlightenment Faction one unified group?,It is divided into Radical Reformist Faction and Moderate Reformist Faction.
173,2,급진개화파와 온건개화파로 나뉘게 된 계기는 무엇인가요?,임오군란을 계기로 청의 영향력이 강해지면서 이를 비판적으로 바라보는 개화세력이 등장하면서 개화파내에서도 온건파와 급진파로 나뉘었더군,What triggered its division into Radical Reformist Faction and Moderate Reformist Faction?,"Since Military Uprising of 1882, Qing's influence began to dwindle, and Enlightenment Faction, critical of the relationship with Qing, began to appear. Then the group was divided into Radical Reformists and Moderate Reformists."
174,55,급진개화파의 특징은 무엇인가요?,일본의 메이지 유신을 모델로 하여 입헌군주제 혹은 서양식 공화정으로 나아가려는 모습을 보였다네,What are some characteristics of Radical Reformist Faction?,They were modeled after Japan's Meiji Restoration and went in the direction of a constitutional monarchy or a Western-style republic.
175,33,입헌군주제가 무엇인가요?,"왕은 존재하나 실권을 갖지 않고 의회가 실권을 갖는 정치체제를 말하네, 의회 다수당의 대표인 총리 혹은 수상이 행정부를 다스리지",What is Constitutional Monarchy?,"It refers to a political system in which the king exists, but the parliament holds real power. The prime minister of the parliamentary majority party governs the administration."
176,25,급진개화파의 대표적인 인물은 누가 있나요?,"김옥균, 박영효, 홍영식, 서광범 등이 있네",Who are some notable people of Radical Reformist Faction?,"There are people like Kim Ok-gyun, Park Young-hyo, Hong Young-sik, Seo Gwang-beom, etc."
177,30,온건개화파의 특징은 무엇인가요?,조정의 대신들이 대부분이었는데 그들은 청나라의 중체서용이나 양무운동을 지향했네,What are some characteristics of Moderate Reformist Faction?,Most of the members were the court ministers and who supported Jungcheseoyong (a study of Chinese Substance and Western Function) and Yangmu undong (Chinese Self-Strengthening Movement in the late 19th century).
178,30,중체서용이 무엇인가요?,중국의 체제를 유지하되 서양의 과학기술만 받아들이자는 주장이네 ,What is Jungcheseoyong (a study of Chinese Substance and Western Function)?,It is a study of maintaining the Chinese system and accepting Western science and technology. 
179,20,온건개화파의 대표적인 인물은 누가 있나요?,"김홍집, 어윤중, 김윤식 등이 있네",Who are some notable people of Moderate Reformist Faction?,"There are people like Kim Hong-jip, Eo Yun-jung, Kim Yun-sik, etc."
180,39,수신사가 무엇인가요?,강화도 조약 이후 일본의 개화 문물을 시찰하고 수용하기 위해 파견한 사절단이라네,What is Susinsa (special envoy)?,It's a delegation sent to Japan to inspect and accept their enlightened culture following the signing of Treaty of Ganghwa of 1876.
181,14,1차 수신사로 누가 파견되었나요?,김기수를 대표로 하는 수신사로 일행 76명이 파견되엇다네,Who were the first group of Susinsa (special envoy)?,A total of 76 people led by Kim Ki-soo were dispatched.
182,14,1차 수신사는 왜 파견되었나요?,강화도 조약 이후 일본의 개화 문물을 시찰하기 위해 파견되었다네,Why did we send the first group of Susinsa (special envoy)?,To inspect Japan's enlightened culture following the signing of Treaty of Ganghwa of 1876.
183,33,1차 수신사의 결과는 무엇인가요?,김기수가 수신사로 다녀오면서 『일동기유』와 『수신사일기』라는 책을 통해 근대 문물을 소개했다네,What are some results of the first group of Susinsa (special envoy)?,"After completing his mission as Susinsa (special envoy), Kim Ki-su introduced modern civilization through such books as『Ildonggiyu』 and 『Susinsa Diary』."
184,33,『일동기유』는 어떤 책인가요?,메이지 유신 이후 발전된 일본 문물을 시찰하고 기록한 책이라네,What kind of book is 『Ildonggiyu』?,It is a book that inspected and recorded the modern Japanese culture of the post-Meiji Restoration era.
185,41,『수신사일기』는 어떤 책인가요?,김기수가 수신사로 파견될 시기에 쓴 일기로 일본 공사와 나눈 대화가 기록되어 있다네,What kind of book is 『Susinsa Diary』?,It's a diary Kim Ki-su wrote when he was dispatched as part of Susinsa. It records a conversation with a Japanese minister.
186,22,2차 수신사로 누가 파견되었나요?,"김홍집을 대표로 하는 수신사로, 일행 58명이 일본에 파견되었네",Who were the second group of Susinsa (special envoy)?,A total of 58 people led by Kim Hong-jip were dispatched.
187,18,2차 수신사는 왜 파견되었나요?,청의 리훙장이 조선에 대한 일본의 침략을 경고했네! 이에 일본정부의 진의와 선진정보를 얻기 위해 파견했네,Why did we send the second group of Susinsa (special envoy)?,"It's because Qing's Li Hong-jang warned of Japanese invasion against Joseon! So, we sent them to unveil the Japanese government’s intention and the latest information about Japan."
188,48,2차 수신사의 결과는 무엇인가요?,김홍집이 청나라 외교관인 황쮼쌘이 자신의 의견을 개진한 『조선책략』을 가져와서 나에게 바쳤네,What are some results of the second group of Susinsa (special envoy)?,"Kim Hong-jip brought 『Joseon Chaengnyak』 (A Policy for Korea), written by Qing's diplomat Hwang Zun-xian and presented it to me."
189,25,3차 수신사로 누가 파견되었나요?,"박영효, 김옥균, 김만식 등을 파견했네",Who were the third group of Susinsa (special envoy)?,"There were people like Park Young-hyo, Kim Ok-gyun, Kim Man-sik, etc. "
190,25,3차 수신사는 왜 파견되었나요?,임오군란 후 일본 피해에 대한 사과의 뜻을 표하기 위해 파견했네,Why did we send the third group of Susinsa (special envoy)?,We sent them to express an apology for the damage caused by Military Uprising of 1882.
191,20,3차 수신사의 특징으로 무엇이 있나요?,이응준이 만들었던 태극기를 박영효가 사용했다고 하더군. 이때 고안한 태극기를 공식적으로 사용하고 전국에 공포하였네,What are some characteristics of the third group of Susinsa (special envoy)?,I heard that Park Young-hyo used the Taegeukgi made by Lee Eung-joon. The Taegeukgi designed at the time was officially used and promulgated nationwide.
192,30,통리기무아문이 뭐예요?,개화정책을 총괄하는 기구라네,What is Tongnigimu-amun (Office for Extraordinary State Affairs)?,It is an organization that oversees the enlightenment policy.
193,32,통리기무아문은 어떻게 구성되어 있나요?,"통리기무아문이 개화정책을 총괄하고 세부적으로 12사라고 하여 외교, 군사, 산업의 업무를 담당하도록 했네",How is Tongnigimu-amun (Office for Extraordinary State Affairs) organized?,"Tongnigimu-amun (Office for Extraordinary State Affairs) oversaw the enlightenment policy, and under its umbrella, 12 sub-organizations managed diplomatic, military, and industrial affairs."
194,17,통리기무아문은 계속 유지되었나요?,임오군란 직후 아버님께서 집권하실때 폐지를 했다가 다시 복설되었네,Did Tongnigimu-amun (Office for Extraordinary State Affairs) continue?,"Immediately after Military Uprising of 1882, when my father was still reigning, it was abolished, but it was restored later."
195,26,통리기무아문은 복설이후 어떻게 유지되었나요?,외교업무를 담당하는 통리외교아문과 내정업무를 담당하는 통리내무아문으로 개편되었네,How was Tongnigimu-amun (Office for Extraordinary State Affairs) managed following its restoration?,It was reorganized into Tongnioegyo-amun in charge of diplomatic affairs and Tongninaemu-amun in charge of internal affairs.
196,32,개화직후 군사제도는 어떻게 개편되었나요?,"기존의 5군영에서 무위영, 장어영의 2영으로 개편했네. 그리고 특별히 신식부대인 별기군을 창설했네",How was the military system reorganized following the enlightenment period?,It has been reorganized from the existing five military units to Muwiyeong and Jangeoyeong units. And we established a brand-new unit called Byeolgigun (special skills forces).
197,28,별기군은 언제 만들어졌어요?,1881년에 만들어졌네,When was Byeolgigun (special skills forces) formed?,In 1881.
198,22,별기군은 어떻게 운영되었나요?,일본인이 교관으로 기존 구식 군대와는 달리 월등한 대우로 훈련을 시켰네… 이게 문제가 되었지,How did Byeolgigun (special skills forces) operate?,"With Japanese instructors, the unit received superior treatment and training. It later became a problem."
199,4,별기군의 일본인 교관은 누구인가요?,일본 공사관 소속 공병 소위인 호리모토 레이조 이네,Who was the Japanese instructor of Byeolgigun (special skills forces)?,"It was Horimoto Reijo, a Japanese Lieutenant from the Japanese Legation."
200,34,별기군이 왜 문제가 되었나요?,구식군인에 비해 별기군에 대한 대우가 월등히 좋았기에 차별에 반발하면서 임오군란이 발생했지…,Why did Byeolgigun (special skills forces) become a problem?,"Compared with the existing army, the treatment of Byeolgigun (special skills forces) was much better, so the army backlashed against the discriminatory treatment and sparked Military Uprising of 1882. "
201,15,조사시찰단이 무엇인가요?,"개항 이후 개화정책을 추진하기위해서 먼저 개화를 한 나라에 견학의 의미로 보낸 사절단이네, 직접 가서 어떤 정책을 만들고 추진하고 있는지를 알기위함이지.",What is Josa sichaldan (Korean Courtiers’ Observation Mission to Japan in 1881)?,It's a delegation sent to a country that had accomplished enlightenment following the opening of the ports. The goal was to promote enlightenment policy and understand the policies they were implementing.
202,15,조사시찰단은 언제 파견되었나요?,1881년 4월에 파견되었네,When was the Josa sichaldan (Korean Courtiers’ Observation Mission to Japan in 1881) sent?,On April 1881.
203,20,조사시찰단과 신사유람단은 같은 뜻인가요?,같은 뜻이라네,Are Josa sichaldan (Korean Courtiers’ Observation Mission to Japan in 1881) and Sinsayuramdan the same?,"Yes, those two are the same."
204,25,조사시찰단으로 파견된 인물은 누가 있나요?,"박정양, 어윤중, 홍영식 등 12명의 조사와 수행원을 파견했네",Who are some notable people of Josa sichaldan (Korean Courtiers’ Observation Mission to Japan in 1881)?,"We dispatched 12 investigators and entourage including Park Jeong-yang, Eo Yoon-jung, Hong Young-sik, etc. "
205,11,조사시찰단 파견과정에서 어려움은 없었나요?, 일본에 파견한 사절단인데 당시 개화정책을 반대하는 유생들때문에 파견하는 과정이 쉽지 않았지. 파견할때 동래부 암행어사로 위장하여 파견했으니까 말이네,Did you have any difficulties in the process of dispatching Josa sichaldan (Korean Courtiers’ Observation Mission to Japan in 1881)?,"They were envoys sent to Japan, and the process of dispatching was not easy because of Yusaeng, who opposed the enlightenment policy at the time. They even had to be disguised as Dongraebu Amhaengeosa (secret royal inspector)."
206,17,조사시찰단 파견 결과는 무엇인가요?,이들이 다녀와서 담당 분에 관한 시찰 보고서와 여행기를 제출했는데 이때 다녀온 이들이 각 해당 부서의 요직에 배치되어 개화정책을 주도했네,What was the result of dispatching Josa sichaldan (Korean Courtiers’ Observation Mission to Japan in 1881)?,"After they came back, they submitted inspection reports and travel journals. Then, they were assigned to important positions in each department to lead the enlightenment policy."
207,17,영선사는 뭔가요?,청에 근대식 무기 제조 기술과 군사 훈련법을 습득할 목적으로 파견한 사절단이라네,"What is Yeongseonsa (emissary dispatched to the Qing Dynasty, China).",It's a delegation sent to Qing for the purpose of acquiring modern weapons manufacturing techniques and military training methods.
208,17,영선사는 언제 파견되었나요?,1881년 9월에 파견하였네,"When was Yeongseonsa (emissary dispatched to the Qing Dynasty, China) sent?",On September 1881.
209,10,영선사로 파견된 인물은 누가 있나요?,김윤식을 대표로 38명의 유학생을 파견했네,"Who are some people sent as Yeongseonsa (emissary dispatched to the Qing Dynasty, China)?",A group of 38 students studying abroad led by Kim Yun-sik was sent.
210,35,영선사가 청으로 파견되어 무엇을 배웠나요?,"청의 톈진 무기공장에서 단약제조법, 기계 조작법 뿐만 아니라 자연과학, 외국어도 배웠다네","What did Yeongseonsa (emissary dispatched to the Qing Dynasty, China) learn from Qing?","At the Tianjin Weapons Factory in Qing, they learned how to make ammunition, operate machines, and learned natural science and foreign languages."
211,15,영선사가 파견된 이후 에피소드가 있나요?,정부의 재정 지원 부족과 임오군란이 발발하면서 예정된 기간을 채우지 못하고 중도 귀국을 하게 되었지….,"Who are some episodes after Yeongseonsa (emissary dispatched to the Qing Dynasty, China) was sent?","Due to the lack of financial support from the government and the outbreak of Military Uprising of 1882, they were unable to complete the scheduled time frame and returned to Korea..."
212,15,영선사가 돌아온 이후 조선에 끼친 영향이 있나요?,기기창 설립에 영향을 주었네,"How did Yeongseonsa (emissary dispatched to the Qing Dynasty, China) influence Joseon after they returned?",They helped to build Gigichang (machinery plant).
213,20,기기창이 무엇인가요?,조선 최초의 근대식 무기 제조 공장이네,What is Gigichang?,It is the first modern weapon manufacturing factory in Joseon.
214,20,보빙사절단은 뭔가요?,미국에 조미수호조약을 기념하여 파견한 사절단이라네,What is Bobingsa?,"It's a delegation sent to the United States in commemoration of Jomi suho tongsang joyak (Treaty of Peace, Amity, Commerce and Navigation between Korea and the United States, 1882)."
215,25,보빙사절단은 언제 파견되었나요?,1883년 6월에 파견되었다네,When was Bobingsa (the first delegation to the US)?,On April 1883.
216,12,보빙사절단으로 파견된 인물은 누가 있나요?,"민영익, 홍영식, 서광범, 유길준 등 11명을 파견하였다네",Who are some people sent as Bobingsa (the first delegation to the US)?,"11 people were dispatched, including Min Young-ik, Hong Young-sik, Seo Gwang-beom, and Yu Gil-jun."
217,60,보빙사절단으로 파견된 이후 어떤일이 있었나요?,"이들이 미국의 대통령을 우리 조선과 같은 왕이라 생각하고 큰절을 했다더군, 이 장면을 기념하듯 우표도 나왔다던데",What happened after Bobingsa (the first delegation to the US) were sent?,"They thought that the United States president was the same as the king of Joseon, so they bowed to the president. A stamp that appeared to be the commemoration of the scene was issued later."
218,25,보빙사절단으로 파견된 이들 중 기억에 남는 사람이 있나요?,유길준과 변수가 있네…,Is there any memorable people from Bobingsa (the first delegation to the US)?,There are Yoo Gil-jun and Byeon Su
219,17,보빙사절단으로 파견된 유길준이 왜 기억에 남으시나요?,"조선인 최초의 미국 유학생이었지, 그는 미국에서 유학을 하고 유럽을 일주했다고 하더군",Why do you remember Yoo Gil-jun among Bobingsa (the first delegation to the US)?,"He was the first Korean student to study abroad in the US, and he said he later even traveled around Europe."
220,32,보빙사절단으로 파견된 변수가 왜 기억에 남으시나요?,"조선인 최초의 미국대학 졸업자라네, 그는 메릴랜드 대학을 졸업해서 모교에서 근무를 했다고 하더군… 그런데 얼마 후 캠퍼스 역에 지나가는 기차에 치어 세상을 떠났다는 군…",Why do you remember Byeon Su among Bobingsa (the first delegation to the US)?,"He was the first Korean to graduate from an American university. He graduated from the University of Maryland and worked at his alma mater. But unfortunately, he was hit by a train passing by the campus station and passed away."
221,45,박문국이 무엇인가요?,최초의 근대식 인쇄소이네,What is Bangmunguk (the first printery in Joseon)? ,It is the first modern printery.
222,20,박문국은 언제 설치되었나요?,1883년 7월 이네,When was Bangmunguk (the first printery in Joseon) installed?,On July 1883.
223,32,박문국에서 간행한 대표적인 인쇄물이 있나요?,최초의 순한문 신문인 한성순보를 간행했네,What is the most notable publication printed in Bangmunguk (the first printery in Joseon)?,We published the first full Chinese character newspaper called Hanseong Sunbo (Seoul Tri-monthly).
224,20,민영익은 누구인가요?,"황후의 조카이네, 1883년 보빙사의 일원으로 미국에 다녀온 후 갑신정변 때 큰 부상을 입었지…그를 고쳐준게 미국인 의원 알렌이네",Who is Min Young-ik?,"He's the empress's nephew, and after he went to the US as a member of Bobingsa in 1883, he was seriously injured during the Gapsinjeongbyeong (Gapsin Coup of 1884). An American doctor called Allen treated him."
225,20,위정척사가 무슨뜻인가요?,"바른것을 위하고 사악한것을 배척한다는 뜻으로 성리학적 질서를 바른것으로, 서양의 문물을 사악한 것으로 인식한것이네",What does Wijeongcheoksa (defending orthodoxy and rejecting heterodoxy) mean?,"It means to secure the just and reject the evil, by which Neo-Confucianism order is the just and the Western culture is the evil."
226,17,척사윤음이 무엇인가요?,"사교를 배척하는 왕의 명령(윤음)이라는 뜻이네, 여기서 사교는 천주교를 말하지",What is Cheoksayuneum?,"It refers to an order of the king to reject a cult. Here, in this case, cult refers to Catholicism."
227,17,1881년에 왜 척사윤음을 반포하셨나요?,"당시 유생들이 천주교를 넘어 개신교까지 들어오려하자 많은 반발을 했다네, 이를 진정시키기 위함이지",Why did you declare Cheoksayuneum?,"As Protestants tried to enter Joseon subsequent to Catholicism's entry, Yusaeng backlashed severely. So, the goal was to appease them."
228,25,이재선은 누구인가요?,아버님의 서자로 나에게는 배다른 형제이지,Who is Lee Jae-seon?,"He is a child of my father’s concubine, a half fleshly brother to me."
229,40,이재선의 난이 무엇인가요?,아버님을 지지하는 이들이 척사론자들과 결탁하여 이재선을 왕으로 추대하기 위해 반역을 꾀했다네. 이버님이 직접적으로 개입되지는 않으셨다고는 하나… 흠…,What is Lee Jae-seon’s coup?,My father's supporters sided with Cheoksa Thought supporters and attempted a rebel to elect Lee Jae-seon as king. I was told that my father was not directly involved... hm...
230,30,위정척사세력의 대표적인 인물은 누가 있나요?,"이항로, 기정진, 최익현, 유인석 등이 있네",Who are some notable people of Wijeongcheoksa (defending orthodoxy and rejecting heterodoxy) group?,"There are people like Lee Hang-ro, Ki Jeong-jin, Choi Ik-hyun, and Yoo In-seok."
231,30,1860년대 위정척사 운동의 특징은 무엇인가요?,당시에 병인양요와 같이 외세가 우리 조선을 침략하던 시기이다보니 통산반대 운동을 주장했다네 (척화주전론),What are some characteristics of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement)?,"It was the period of Byeongin Yangyo (Foreign Disturbance of 1866) where foreign powers invaded Joseon, so the main ideas were the commerce rejection campaign and Cheokhwa jujeonnon (theory of ""anti-negotiation, pro-war"")."
232,20,1860년대 위정척사 운동의 또 다른 특징은 무엇인가요?,당시에는 아버님이 섭정을 하시던 시기이다보니 아버님의 통상수교거부정책을 지지했다네,What are some other characteristics of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement)?,"It was during my father’s regency, so its people supported his policy of rejecting trade and diplomatic relations."
233,20,1860년대 위정척사 운동의 대표적인 인물은 누구인가요?,"이항로, 기정진 등이 있네",Who were the most notable people of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement)?,"There are people like Lee Hang-ro, and Ki Jeong-jin."
234,25,1870년대 위정척사 운동이 전개되던 시기의 상황은 어땠나요?,강화도 조약이 체결되기 직전이다 보니 개항을 해서는 안된다는 주장을 많이 했다네,"What was the situation in the 1870s, when Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) began to unfold?","It was right before the signing of Treaty of Ganghwa of 1876, so they argued that the ports should not be opened to foreigners."
235,25,1870년대 위정척사 운동의 특징은 무엇인가요?,개항 반대 운동이라 볼 수 있겠지.. 최익현과 같은 인물들은 '왜양일체론'을 주장하면서 개항의 부당함을 주장하더군,What are some characteristics of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) in the 1870s?,It was a protest against the port opening. People like Choi Ik-hyun argued for ‘Waeyangilcheron’ (a view that Japan and the West are equally barbaric) and insisted on the injustice of opening the ports.
236,19,1870년대 위정척사 운동의 대표적인 인물은 누구인가요?,최익현이 있네,Who were the most notable people of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) in the 1870s?,It's Choi Ik-hyun.
237,42,최익현은 어떤 활동을 했나요?,"아버님의 탄핵에도 앞장섰고 왜양일체론을 주장하여 일본의 침략성을 경계하라고 했지, 나중에는 을사의병도 주도하다가 임병찬과 함께 체포되어 대마도에서 순국을 했다네",What activities was Choi Ik-hyun involved in?,"He took the lead in my father’s impeachment and warned people to be wary of Japanese aggression by claiming ‘Waeyangilcheron’ (a view that Japan and the West are equally barbaric). Later, he led Eulmi Righteous Army and was caught with Im Byung-chan, and died in Daemado."
238,34,왜양일체론이 무엇인가요?,"왜인들이 서양인들의 앞잡이라는 뜻이네, 즉, 왜인들도 서양인들 처럼 우리 조선을 침략하려는 의도를 갖고 있다는 뜻이지",What is Waeyangilcheron (a view that Japan and the West are equally barbaric)?,"It means that the Japanese people are an informant of Westerners, that is, the Japanese people, like the Westerners, have the intention of invading Korea."
239,50,1880년대 위정척사 운동이 전개되던 시기의 상황은 어땠나요?,정부의 개화정책과 『조선책략』의 유포에 유생들의 여론이 좋지 않던 시기지..,"What was the situation in the 1880s, when Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) had unfolded?",Public sentiment among Yusaeng crumbled as the government's Enlightenment policy and Joseon Chaengnyak (A Policy for Korea) spread. 
240,26,1880년대 위정척사 운동의 특징은 무엇인가요?,"개화반대론이 팽배했다네, 대표적으로 영남 만인소 사건이 있었지",What are some characteristics of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) in the 1880s?,"Anti-Enlightenment Thought prevailed. Most notably, there was the Yeongnam Maninso (memorial used as a form of protest by Confucian scholars) case."
241,16,1870년대 위정척사 운동의 대표적인 인물은 누구인가요?,이만손과 홍재학이 있다네,Who were the most notable people of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) in the 1870s?,There are Lee Man-son and Hong Jae-hak.
242,16,1890년대 위정척사 운동이 전개되던 시기의 상황은 어땠나요?,황후의 죽음(을미사변)과 단발령 등 일본에 저항하는 항일 의병운동에 대한 주장이 퍼지고 있었네,"What was the situation in the 1890s, when Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) had unfolded?","Following the incidents such as Eulmisabyeon (assassination of Empress Myeongseong by the Japanese) and Danballyeong (prohibition of topknots), the sentiment to form the righteous army against Japan began to escalate."
243,25,1890년대 위정척사 운동의 대표적인 인물은 누구인가요?,"유인석, 기우만 등이 있네",Who were the most notable people of Wijeongcheoksa undong (Defending Orthodoxy and Rejecting Heterodoxy Movement) in the 1890s?,There are Yoo In-seok and Ki Woo-man.
244,20,임오군란은 언제 터졌나요?,1882년 6월 9일이네,When did Military Uprising of 1882 erupt?,On 9th June 1882.
245,20,임오군란이 터지기 전 국내적 상황은 어땟나요?,일본으로의 양곡의 무제한 유출로 곡물 가격이 폭등하면서 백성들의 삶이 어려웠다네,What was the domestic situation like before Military Uprising of 1882 broke out?,The people's lives had become difficult as the uncontrolled outflow of grain to Japan spiked grain prices.
246,20,임오군란의 직접적인 원인이 무었인가요?,구식군인에 비해 별기군에 대한 대우가 월등히 좋았기에 차별에 반발하면서 임오군란이 발생했지…,What was the direct cause of Military Uprising of 1882?,"Compared with the existing outdated army, the treatment of Byeolgigun (special skills forces) was much better, so the army backlashed against the discriminatory treatment and sparked Military Uprising of 1882."
247,20,임오군란은 어떻게 시작되었나요?,구식군인들에 대한 급여가 13개월이나 밀렸다네… 이때 선혜청에서 한달치 급료를 준다 했는데 모래가 섞인것을 보고 군인들이 난리를 벌였다네,How did Military Uprising of 1882 begin?,"Salaries for existing outdated soldiers had been delayed by 13 months... And at the time, Seonhyecheong (Rice and Cloth Department) promised to pay a month's salary of rice. But the soldiers became furious when they found out that sand was mixed in it."
248,20,임오군란을 일으킨 군인들은 제일먼저 무엇을 했나요?,"일본공사관을 습격했다네, 별기군의 교관인 호리모토 레이조가 이떄 살해되었지",What did the soldiers who launched Military Uprising of 1882 do first?,"They attacked the Japanese Legation, and Reijo Horimoto, the instructor of the Byeolgigun (special skills forces), was murdered at this time."
249,20,임오군란으로 선혜청도 습격했나요?,"선혜청의 당상관이었던 민겸호와 민씨들을 습격했다네, 이들은 중전을 잡겠다고 궁궐도 범했지",Was Seonhyecheong (Rice and Cloth Department) attacked during Military Uprising of 1882?,Byeolgigun attacked Dangsanggwan official Min Gyeom-ho and others from the Min clan. They intruded on the palace to capture the Empress.
250,20,임오군란 때 흥선대원군은 무엇을 했나요?,군인들이 아버님께 동참을 권유했고 아버님이 재집권을 하셨다네..,What did Heungseon Daewongun do during Military Uprising of 1882?,"The soldiers invited my father to join him, and he came back to power."
251,16,임오군란으로 흥선대원군이 집권해서 무엇을 했나요?,삼군부와 5군영이 부활했고 각종 개화정책이 폐지되거나 중단되었다네,Waht did Heungseon Daewongun do when he seized power after Military Uprising of 1882?,"Samgunbu (The Three Forces) and the five military units revived, and various enlightenment policies were abolished or stopped. "
252,20,임오군란 때 명성황후는 어떻게 되었나요?,중전이 급히 충주 장호원으로 피신을 했다더군… 그때만해도 중전이 살았는지 죽었는지도 모랐고 아버님은 중전이 죽었다고 공표를 하시고 장례까지 치루셨네,What happened to Empress Myeongseong during Military Uprising of 1882?,"The empress took refuge in Chungju Janghowon... At that time, I didn't know whether the empress was dead or alive, but my father announced that she had died and even held a funeral for her."
253,20,임오군란 이후 명성황후는 어떻게 복귀를 했나요?,청군이 군란을 진압하면서 아버님을 청으로 납치를 했다네!. 이후 청군이 중전을 모셔왔지 이것이 청나라가 우리 조선에 막대한 영향력을 끼치게 만들었고,How did Empress Myeongseong return after Military Uprising of 1882?,"The Qing army suppressed the rebellion and kidnapped my father to Qing. Later, the Qing army brought back the empress. Ever since, Qing exerted enormous influence on Joseon."
254,20,임오군란의 결과 민씨세력은 재집권을 했나요?,"그렇다네, 더욱이 청이 군란을 진압하면서 친청 내각이 수립되었지","After Military Uprising of 1882 ended, did the Min clan regain their power?","Yes, moreover, the Qing army’s victory over the rebellion led to the establishment of a pro-Qing cabinet."
255,49,청은 임오군란 이후 어떻게 내정 간섭을 했나요?,청이 위안스카이 등이 지위하는 군대를 보내 상주시켰네,How did Qing intervene in the internal affairs after Military Uprising of 1882?,Qing sent an army commanded by Yuan Shika and others to be stationed in Joseon.
256,30,청은 임오군란 이후 내정간섭을 더욱더 강화하기 위해 무엇을 했나요?,"마젠창과 독일인 목린덕(뭴렌도르프)를 파견해 내정과 외교 문제에 깊이 간여를 했다네,",What did Qing do to strengthen the intervention of internal affairs following Military Uprising of 1882?,"They sent Ma Jianchang and Mok In-dok (Moellendorff), a German, to deeply engage in internal affairs and diplomacy."
257,20,임오군란 직후 상황을 수습하기 위해 조선이 외국과 체결한 조약이 있나요?,"일본과 제물포 조약을 맺고, 청과 조청상민수륙무역장정을 체결했네","To remedy the situation immediately after Military Uprising of 1882, has there been a treaty that Josean signed with foreign countries?","We signed Jemulpo joyak (Treaty of Jemulpo of 1882) with Japan and signed Joseon sangmin suryuk muyeok jangjeong (Regulations for Maritime and Overland Trade between Korea and China, 1882) with Qing."
258,40,임오군란 이후 묄렌도르프는 어떤 활동을 했나요?,청의 고문으로  활동하면서 해관을 설치하였네,What activities was Moellendorff involved in after Military Uprising of 1882?,"While acting as an advisor to Qing, he set up customs."
259,20,임오군란 이후 기억에 남는 사건이 있나요?,아버님이 청에 압송된 이후 일본 공사의 압박으로 척화비를 모두 철거했던게 기억나는 군,,
